a11y-profile-manager-indicator	0.1.11-0ubuntu4
ghostscript	9.50~dfsg-5ubuntu4.15
ghostscript-x	9.50~dfsg-5ubuntu4.15
gir1.2-accountsservice-1.0	0.6.55-0ubuntu12~20.04.7
gir1.2-appindicator3-0.1	12.10.1+20.04.20200408.1-0ubuntu1
gir1.2-atk-1.0:amd64	2.35.1-1ubuntu2
gir1.2-atspi-2.0:amd64	2.36.0-2
gir1.2-clutter-1.0:amd64	1.26.4+dfsg-1
gir1.2-clutter-gst-3.0:amd64	3.0.27-1
gir1.2-cogl-1.0:amd64	1.22.6-1
gir1.2-coglpango-1.0:amd64	1.22.6-1
gir1.2-dbusmenu-glib-0.4:amd64	16.04.1+18.10.20180917-0ubuntu6
gir1.2-dee-1.0	1.2.7+17.10.20170616-4ubuntu6
gir1.2-freedesktop:amd64	1.64.1-1~ubuntu20.04.1
gir1.2-gck-1:amd64	3.36.0-2build1
gir1.2-gcr-3:amd64	3.36.0-2build1
gir1.2-gdata-0.0:amd64	0.17.12-1
gir1.2-gdesktopenums-3.0:amd64	3.36.0-1ubuntu1
gir1.2-gdkpixbuf-2.0:amd64	2.40.0+dfsg-3ubuntu0.5
gir1.2-gdm-1.0:amd64	3.36.3-0ubuntu0.20.04.4
gir1.2-geoclue-2.0:amd64	2.5.6-0ubuntu1
gir1.2-glib-2.0:amd64	1.64.1-1~ubuntu20.04.1
gir1.2-gmenu-3.0:amd64	3.36.0-1ubuntu1
gir1.2-gnomebluetooth-1.0:amd64	3.34.3-0ubuntu1
gir1.2-gnomedesktop-3.0:amd64	3.36.8-0ubuntu1
gir1.2-goa-1.0:amd64	3.36.1-0ubuntu1
gir1.2-graphene-1.0:amd64	1.10.0-1build2
gir1.2-gst-plugins-base-1.0:amd64	1.16.3-0ubuntu1.4
gir1.2-gstreamer-1.0:amd64	1.16.3-0ubuntu1.2
gir1.2-gtk-3.0:amd64	3.24.20-0ubuntu1.2
gir1.2-gtkclutter-1.0:amd64	1.8.4-4
gir1.2-gtksource-4:amd64	4.6.0-1
gir1.2-gtk-vnc-2.0:amd64	1.0.0-1build1
gir1.2-gudev-1.0:amd64	1:233-1
gir1.2-gweather-3.0:amd64	3.36.1-1~ubuntu20.04.1
gir1.2-ibus-1.0:amd64	1.5.22-2ubuntu2.1
gir1.2-javascriptcoregtk-4.0:amd64	2.38.6-0ubuntu0.20.04.1
gir1.2-json-1.0:amd64	1.4.4-2ubuntu2
gir1.2-libosinfo-1.0:amd64	1.7.1-1
gir1.2-libvirt-glib-1.0:amd64	3.0.0-1
gir1.2-mutter-6:amd64	3.36.9-0ubuntu0.20.04.2
gir1.2-nm-1.0:amd64	1.22.10-1ubuntu2.4
gir1.2-nma-1.0:amd64	1.8.24-1ubuntu3
gir1.2-notify-0.7:amd64	0.7.9-1ubuntu3.20.04.2
gir1.2-packagekitglib-1.0	1.1.13-2ubuntu1.1
gir1.2-pango-1.0:amd64	1.44.7-2ubuntu4
gir1.2-peas-1.0:amd64	1.26.0-2
gir1.2-polkit-1.0	0.105-26ubuntu1.3
gir1.2-rsvg-2.0:amd64	2.48.9-1ubuntu0.20.04.4
gir1.2-secret-1:amd64	0.20.4-0ubuntu1
gir1.2-signon-1.0	1.14+17.04.20161117-0ubuntu5
gir1.2-snapd-1:amd64	1.58-0ubuntu0.20.04.0
gir1.2-soup-2.4:amd64	2.70.0-1ubuntu0.5
gir1.2-spiceclientglib-2.0:amd64	0.37-2fakesync1
gir1.2-spiceclientgtk-3.0:amd64	0.37-2fakesync1
gir1.2-totemplparser-1.0:amd64	3.26.5-1ubuntu1
gir1.2-udisks-2.0:amd64	2.8.4-1ubuntu2
gir1.2-unity-5.0:amd64	7.1.4+19.04.20190319-0ubuntu3
gir1.2-upowerglib-1.0:amd64	0.99.11-1build2
gir1.2-vte-2.91:amd64	0.60.3-0ubuntu1~20.5
gir1.2-webkit2-4.0:amd64	2.38.6-0ubuntu0.20.04.1
gir1.2-wnck-3.0:amd64	3.36.0-1
gist	5.0.0-4ubuntu1
git	1:2.25.1-1ubuntu3.14
git-man	1:2.25.1-1ubuntu3.14
gjs	1.64.5-0ubuntu0.20.04.01
gkbd-capplet	3.26.1-1
glib-networking:amd64	2.64.2-1ubuntu0.1
glib-networking-common	2.64.2-1ubuntu0.1
glib-networking-services	2.64.2-1ubuntu0.1
gnome-accessibility-themes	3.28-1ubuntu1
gnome-bluetooth	3.34.3-0ubuntu1
gnome-calculator	1:3.36.0-1ubuntu1
gnome-calendar	3.36.2-0ubuntu1
gnome-characters	3.34.0-1
gnome-control-center	1:3.36.5-0ubuntu4.1
gnome-control-center-data	1:3.36.5-0ubuntu4.1
gnome-control-center-faces	1:3.36.5-0ubuntu4.1
gnome-desktop3-data	3.36.8-0ubuntu1
gnome-disk-utility	3.36.3-0ubuntu1
gnome-font-viewer	3.34.0-2
gnome-getting-started-docs	3.36.2-0ubuntu0.1
gnome-initial-setup	3.36.2-0ubuntu2
gnome-keyring	3.36.0-1ubuntu1
gnome-keyring-pkcs11:amd64	3.36.0-1ubuntu1
gnome-logs	3.34.0-1ubuntu1
gnome-mahjongg	1:3.36.1-1
gnome-menus	3.36.0-1ubuntu1
gnome-mines	1:3.36.0-1
gnome-online-accounts	3.36.1-0ubuntu1
gnome-power-manager	3.32.0-2
gnome-screensaver	3.6.1-11ubuntu4
gnome-screenshot	3.36.0-1ubuntu1
gnome-session-bin	3.36.0-2ubuntu1
gnome-session-canberra	0.30-7ubuntu1
gnome-session-common	3.36.0-2ubuntu1
gnome-settings-daemon	3.36.1-0ubuntu1.1
gnome-settings-daemon-common	3.36.1-0ubuntu1.1
gnome-shell	3.36.9-0ubuntu0.20.04.5
gnome-shell-common	3.36.9-0ubuntu0.20.04.5
gnome-shell-extension-appindicator	33.1-0ubuntu0.20.04.2
gnome-shell-extension-desktop-icons	20.04.0-3~ubuntu20.04.6
gnome-shell-extension-ubuntu-dock	68ubuntu1~20.04.1
gnome-software-common	3.36.1-0ubuntu0.20.04.1
gnome-startup-applications	3.36.0-2ubuntu1
gnome-sudoku	1:3.36.0-1
gnome-system-log	3.9.90-8
gnome-system-monitor	3.36.1-0ubuntu0.20.04.1
gnome-terminal	3.36.2-1ubuntu1~20.04
gnome-terminal-data	3.36.2-1ubuntu1~20.04
gnome-themes-extra:amd64	3.28-1ubuntu1
gnome-themes-extra-data	3.28-1ubuntu1
gnome-todo	3.28.1-5
gnome-todo-common	3.28.1-5
gnome-user-docs	3.36.2+git20200704-0ubuntu0.1
gnome-user-share	3.18.3-3
gnome-video-effects	0.5.0-1ubuntu1
gnupg	2.2.19-3ubuntu2.5
gnupg2	2.2.19-3ubuntu2.5
gnupg-agent	2.2.19-3ubuntu2.5
gnupg-l10n	2.2.19-3ubuntu2.5
gnupg-utils	2.2.19-3ubuntu2.5
gpg	2.2.19-3ubuntu2.5
gpg-agent	2.2.19-3ubuntu2.5
gpgconf	2.2.19-3ubuntu2.5
gpgsm	2.2.19-3ubuntu2.5
gpgv	2.2.19-3ubuntu2.5
gpg-wks-client	2.2.19-3ubuntu2.5
gpg-wks-server	2.2.19-3ubuntu2.5
grep	3.4-1
grilo-plugins-0.3-base:amd64	0.3.11-1ubuntu1
groff-base	1.22.4-4build1
grub2-common	2.04-1ubuntu26.17
grub-common	2.04-1ubuntu26.17
grub-efi-amd64	2.06-2ubuntu14.8
grub-efi-amd64-bin	2.06-2ubuntu14.8
grub-efi-amd64-signed	1.187.12~20.04+2.06-2ubuntu14.8
gsettings-desktop-schemas	3.36.0-1ubuntu1
gsettings-ubuntu-schemas	0.0.7+17.10.20170922-0ubuntu1
gsfonts	1:8.11+urwcyr1.0.7~pre44-4.4
gstreamer1.0-alsa:amd64	1.16.3-0ubuntu1.4
gstreamer1.0-clutter-3.0:amd64	3.0.27-1
gstreamer1.0-gl:amd64	1.16.3-0ubuntu1.4
gstreamer1.0-gtk3:amd64	1.16.3-0ubuntu1.3
gstreamer1.0-packagekit	1.1.13-2ubuntu1.1
gstreamer1.0-plugins-base:amd64	1.16.3-0ubuntu1.4
gstreamer1.0-plugins-base-apps	1.16.3-0ubuntu1.4
gstreamer1.0-plugins-good:amd64	1.16.3-0ubuntu1.3
gstreamer1.0-pulseaudio:amd64	1.16.3-0ubuntu1.3
gstreamer1.0-tools	1.16.3-0ubuntu1.2
gstreamer1.0-x:amd64	1.16.3-0ubuntu1.4
gtk2-engines-murrine:amd64	0.98.2-3
gtk2-engines-pixbuf:amd64	2.24.32-4ubuntu4.1
gtk3-nocsd	3-1ubuntu1
gtk-update-icon-cache	3.24.20-0ubuntu1.2
gucharmap	1:13.0.1-1
guile-2.2-libs:amd64	2.2.7+1-4
gvfs:amd64	1.44.1-1ubuntu1.2
gvfs-backends	1.44.1-1ubuntu1.2
gvfs-bin	1.44.1-1ubuntu1.2
gvfs-common	1.44.1-1ubuntu1.2
gvfs-daemons	1.44.1-1ubuntu1.2
gvfs-fuse	1.44.1-1ubuntu1.2
gvfs-libs:amd64	1.44.1-1ubuntu1.2
gvncviewer	1.0.0-1build1
gzip	1.10-0ubuntu4.1
hddtemp	0.3-beta15-53
hdparm	9.58+ds-4
help2man	1.47.13
hfsplus	1.0.4-15
hicolor-icon-theme	0.17-2
hostname	3.23
hplip	3.20.3+dfsg0-2ubuntu0.1
hplip-data	3.20.3+dfsg0-2ubuntu0.1
htop	2.2.0-2build1
hud	14.10+17.10.20170619-0ubuntu3.1
humanity-icon-theme	0.6.15
hunspell-en-us	1:2018.04.16-1
hwdata	0.333-1
hyphen-en-ca	0.10
hyphen-en-us	2.8.8-7
hyphen-fi	0.10
hyphen-ga	0.10
hyphen-id	1:6.4.3-1
i965-va-driver:amd64	2.4.0-0ubuntu1
ibus	1.5.22-2ubuntu2.1
ibus-data	1.5.22-2ubuntu2.1
ibus-gtk3:amd64	1.5.22-2ubuntu2.1
ibus-gtk:amd64	1.5.22-2ubuntu2.1
ibus-table	1.9.25-1
ibverbs-providers:amd64	28.0-1ubuntu1
icoutils	0.32.3-3
ifupdown	0.8.35ubuntu1
iio-sensor-proxy	2.8-1ubuntu2
imagemagick-6-common	8:6.9.10.23+dfsg-2.1ubuntu11.11
imagemagick	8:6.9.10.23+dfsg-2.1ubuntu11.11
imagemagick-common	8:6.9.7.4+dfsg-16ubuntu6.15
im-config	0.44-1ubuntu1.3
indicator-application	12.10.1+19.04.20190308.1-0ubuntu3
indicator-appmenu	15.02.0+16.10.20160927-0ubuntu5
indicator-common	16.10.0+18.04.20180321.1-0ubuntu4
indicator-datetime	15.10+20.04.20200217-0ubuntu1
indicator-keyboard	0.0.0+19.10.20190716-0ubuntu3
indicator-messages	13.10.1+18.10.20180918-0ubuntu2
indicator-power	12.10.6+17.10.20170829.1-0ubuntu5
indicator-printers	0.1.7+17.10.20171101-0ubuntu2
indicator-session	17.3.20+19.10.20190921-0ubuntu1
indicator-sound	12.10.2+18.10.20180612-0ubuntu1
info	6.7.0.dfsg.2-5
init	1.57
initramfs-tools	0.136ubuntu6.7
initramfs-tools-bin	0.136ubuntu6.7
initramfs-tools-core	0.136ubuntu6.7
initscripts	2.88dsf-59.3ubuntu2
init-system-helpers	1.57
inputattach	1:1.7.0-1
insserv	1.14.0-5ubuntu3
install-info	6.7.0.dfsg.2-5
intel-gpu-tools	1.25-2
intel-media-va-driver:amd64	20.1.1+dfsg1-1
intel-microcode	3.20250512.0ubuntu0.20.04.1
inxi	3.0.38-1-0ubuntu1
iperf	2.0.13+dfsg1-1build1
ippusbxd	1.34-2ubuntu1
